id,product_id,product_name,timestamp,purchase_count
1,P013,Product_13,2025-07-24 15:38:37.173841,7
2,P017,Product_17,2025-07-23 05:38:37.173841,5
3,P003,Product_3,2025-07-24 14:38:37.173841,10
4,P006,Product_6,2025-07-25 10:38:37.173841,10
5,P013,Product_13,2025-07-24 03:38:37.173841,6
6,P017,Product_17,2025-07-26 00:38:37.173841,8
7,P005,Product_5,2025-07-23 00:38:37.173841,5
8,P010,Product_10,2025-07-22 14:38:37.173841,9
9,P007,Product_7,2025-07-27 03:38:37.173841,8
10,P016,Product_16,2025-07-28 04:38:37.173841,10
11,P018,Product_18,2025-07-28 02:38:37.173841,10
12,P008,Product_8,2025-07-27 22:38:37.173841,2
13,P019,Product_19,2025-07-25 05:38:37.173841,3
14,P010,Product_10,2025-07-21 20:38:37.173841,3
15,P001,Product_1,2025-07-21 19:38:37.173841,6
16,P001,Product_1,2025-07-23 02:38:37.173841,1
17,P017,Product_17,2025-07-21 23:38:37.173841,4
18,P001,Product_1,2025-07-22 06:38:37.173841,3
19,P007,Product_7,2025-07-22 05:38:37.173841,1
20,P017,Product_17,2025-07-22 02:38:37.173841,4
21,P013,Product_13,2025-07-23 13:38:37.173841,10
22,P018,Product_18,2025-07-28 05:38:37.173841,2
23,P006,Product_6,2025-07-28 14:38:37.173841,10
24,P008,Product_8,2025-07-26 19:38:37.173841,1
25,P020,Product_20,2025-07-24 06:38:37.173841,3
26,P010,Product_10,2025-07-23 06:38:37.173841,4
27,P012,Product_12,2025-07-21 19:38:37.173841,3
28,P012,Product_12,2025-07-27 04:38:37.173841,5
29,P001,Product_1,2025-07-26 19:38:37.173841,3
30,P007,Product_7,2025-07-27 02:38:37.173841,1
31,P009,Product_9,2025-07-23 22:38:37.173841,9
32,P017,Product_17,2025-07-24 07:38:37.173841,8
33,P006,Product_6,2025-07-23 04:38:37.173841,8
34,P016,Product_16,2025-07-27 21:38:37.173841,1
35,P007,Product_7,2025-07-24 16:38:37.173841,7
36,P014,Product_14,2025-07-28 00:38:37.173841,8
37,P014,Product_14,2025-07-24 09:38:37.173841,1
38,P010,Product_10,2025-07-25 05:38:37.173841,4
39,P013,Product_13,2025-07-28 13:38:37.173841,5
40,P010,Product_10,2025-07-22 01:38:37.173841,8
41,P002,Product_2,2025-07-25 17:38:37.173841,1
42,P004,Product_4,2025-07-27 16:38:37.173841,6
43,P010,Product_10,2025-07-26 08:38:37.173841,4
44,P001,Product_1,2025-07-26 12:38:37.173841,6
45,P012,Product_12,2025-07-27 11:38:37.173841,9
46,P007,Product_7,2025-07-24 06:38:37.173841,9
47,P016,Product_16,2025-07-22 23:38:37.173841,10
48,P012,Product_12,2025-07-24 05:38:37.173841,7
49,P020,Product_20,2025-07-28 13:38:37.173841,5
50,P007,Product_7,2025-07-24 04:38:37.173841,6
51,P019,Product_19,2025-07-23 12:38:37.173841,1
52,P019,Product_19,2025-07-26 01:38:37.173841,10
53,P019,Product_19,2025-07-25 15:38:37.173841,6
54,P008,Product_8,2025-07-28 04:38:37.173841,8
55,P003,Product_3,2025-07-26 00:38:37.173841,2
56,P010,Product_10,2025-07-25 11:38:37.173841,7
57,P004,Product_4,2025-07-22 19:38:37.173841,3
58,P011,Product_11,2025-07-22 12:38:37.173841,1
59,P011,Product_11,2025-07-25 17:38:37.173841,6
60,P011,Product_11,2025-07-22 05:38:37.173841,10
61,P010,Product_10,2025-07-23 03:38:37.173841,8
62,P016,Product_16,2025-07-26 08:38:37.173841,5
63,P005,Product_5,2025-07-25 23:38:37.173841,5
64,P010,Product_10,2025-07-23 16:38:37.173841,5
65,P016,Product_16,2025-07-24 07:38:37.173841,9
66,P016,Product_16,2025-07-24 03:38:37.173841,5
67,P005,Product_5,2025-07-27 18:38:37.173841,4
68,P014,Product_14,2025-07-25 06:38:37.173841,2
69,P013,Product_13,2025-07-21 21:38:37.173841,6
70,P017,Product_17,2025-07-28 15:38:37.173841,1
71,P019,Product_19,2025-07-26 04:38:37.173841,5
72,P014,Product_14,2025-07-27 23:38:37.173841,8
73,P009,Product_9,2025-07-23 05:38:37.173841,6
74,P003,Product_3,2025-07-27 01:38:37.173841,6
75,P005,Product_5,2025-07-22 20:38:37.173841,10
76,P018,Product_18,2025-07-28 00:38:37.173841,3
77,P016,Product_16,2025-07-23 08:38:37.173841,8
78,P004,Product_4,2025-07-22 16:38:37.173841,9
79,P001,Product_1,2025-07-27 17:38:37.173841,9
80,P014,Product_14,2025-07-22 10:38:37.173841,10
81,P012,Product_12,2025-07-21 18:38:37.173841,1
82,P008,Product_8,2025-07-26 04:38:37.173841,7
83,P012,Product_12,2025-07-22 12:38:37.173841,7
84,P013,Product_13,2025-07-26 03:38:37.173841,6
85,P006,Product_6,2025-07-25 03:38:37.173841,1
86,P004,Product_4,2025-07-22 02:38:37.173841,10
87,P006,Product_6,2025-07-26 23:38:37.173841,10
88,P007,Product_7,2025-07-27 16:38:37.173841,2
89,P011,Product_11,2025-07-28 07:38:37.173841,7
90,P018,Product_18,2025-07-22 09:38:37.173841,3
91,P011,Product_11,2025-07-26 22:38:37.173841,7
92,P007,Product_7,2025-07-23 23:38:37.173841,8
93,P009,Product_9,2025-07-24 18:38:37.173841,6
94,P016,Product_16,2025-07-27 23:38:37.173841,9
95,P020,Product_20,2025-07-23 06:38:37.173841,9
96,P009,Product_9,2025-07-22 19:38:37.173841,5
97,P008,Product_8,2025-07-25 06:38:37.173841,5
98,P004,Product_4,2025-07-22 10:38:37.173841,10
99,P006,Product_6,2025-07-22 18:38:37.173841,8
100,P015,Product_15,2025-07-23 14:38:37.173841,4
101,P016,Product_16,2025-07-28 06:38:37.173841,7
102,P005,Product_5,2025-07-24 10:38:37.173841,4
103,P002,Product_2,2025-07-25 20:38:37.173841,5
104,P013,Product_13,2025-07-24 02:38:37.173841,9
105,P012,Product_12,2025-07-24 19:38:37.173841,10
106,P007,Product_7,2025-07-21 21:38:37.173841,1
107,P015,Product_15,2025-07-27 03:38:37.173841,7
108,P017,Product_17,2025-07-22 10:38:37.173841,6
109,P003,Product_3,2025-07-23 05:38:37.173841,9
110,P008,Product_8,2025-07-25 05:38:37.173841,6
111,P001,Product_1,2025-07-23 04:38:37.173841,9
112,P013,Product_13,2025-07-25 18:38:37.173841,8
113,P018,Product_18,2025-07-22 09:38:37.173841,6
114,P003,Product_3,2025-07-26 16:38:37.173841,3
115,P004,Product_4,2025-07-25 18:38:37.173841,2
116,P008,Product_8,2025-07-22 17:38:37.173841,4
117,P017,Product_17,2025-07-24 13:38:37.173841,8
118,P009,Product_9,2025-07-21 19:38:37.173841,5
119,P003,Product_3,2025-07-24 06:38:37.173841,6
120,P008,Product_8,2025-07-24 18:38:37.173841,9
121,P007,Product_7,2025-07-26 03:38:37.173841,5
122,P010,Product_10,2025-07-28 02:38:37.173841,5
123,P018,Product_18,2025-07-27 23:38:37.173841,9
124,P004,Product_4,2025-07-25 09:38:37.173841,2
125,P003,Product_3,2025-07-28 06:38:37.173841,10
126,P008,Product_8,2025-07-22 14:38:37.173841,1
127,P018,Product_18,2025-07-26 19:38:37.173841,8
128,P008,Product_8,2025-07-23 04:38:37.173841,10
129,P002,Product_2,2025-07-27 13:38:37.173841,4
130,P010,Product_10,2025-07-28 15:38:37.173841,6
131,P020,Product_20,2025-07-26 08:38:37.173841,10
132,P003,Product_3,2025-07-27 06:38:37.173841,10
133,P018,Product_18,2025-07-26 14:38:37.173841,1
134,P009,Product_9,2025-07-27 03:38:37.173841,1
135,P005,Product_5,2025-07-24 14:38:37.173841,6
136,P008,Product_8,2025-07-22 14:38:37.173841,4
137,P009,Product_9,2025-07-27 05:38:37.173841,2
138,P017,Product_17,2025-07-26 11:38:37.173841,9
139,P008,Product_8,2025-07-26 20:38:37.173841,10
140,P006,Product_6,2025-07-24 19:38:37.173841,8
141,P001,Product_1,2025-07-25 16:38:37.173841,9
142,P005,Product_5,2025-07-25 22:38:37.173841,2
143,P001,Product_1,2025-07-28 11:38:37.173841,8
144,P019,Product_19,2025-07-24 03:38:37.173841,9
145,P016,Product_16,2025-07-25 14:38:37.173841,7
146,P016,Product_16,2025-07-27 14:38:37.173841,7
147,P018,Product_18,2025-07-26 06:38:37.173841,2
148,P002,Product_2,2025-07-22 18:38:37.173841,1
149,P002,Product_2,2025-07-22 12:38:37.173841,6
150,P014,Product_14,2025-07-28 10:38:37.173841,10
151,P018,Product_18,2025-07-27 23:38:37.173841,4
152,P015,Product_15,2025-07-28 18:38:37.173841,5
153,P001,Product_1,2025-07-24 06:38:37.173841,10
154,P019,Product_19,2025-07-26 05:38:37.173841,5
155,P009,Product_9,2025-07-24 06:38:37.173841,6
156,P007,Product_7,2025-07-22 00:38:37.173841,5
157,P008,Product_8,2025-07-26 11:38:37.173841,9
158,P007,Product_7,2025-07-23 03:38:37.173841,5
159,P020,Product_20,2025-07-25 14:38:37.173841,6
160,P004,Product_4,2025-07-26 06:38:37.173841,5
161,P005,Product_5,2025-07-27 05:38:37.173841,10
162,P016,Product_16,2025-07-23 05:38:37.173841,9
163,P010,Product_10,2025-07-27 20:38:37.173841,4
164,P016,Product_16,2025-07-23 06:38:37.173841,9
165,P016,Product_16,2025-07-27 11:38:37.173841,7
166,P012,Product_12,2025-07-28 16:38:37.173841,9
167,P013,Product_13,2025-07-27 22:38:37.173841,4
168,P019,Product_19,2025-07-28 12:38:37.173841,9
169,P013,Product_13,2025-07-22 20:38:37.173841,2
170,P009,Product_9,2025-07-25 18:38:37.173841,10
171,P002,Product_2,2025-07-22 19:38:37.173841,8
172,P013,Product_13,2025-07-26 11:38:37.173841,8
173,P018,Product_18,2025-07-22 15:38:37.173841,6
174,P006,Product_6,2025-07-27 07:38:37.173841,10
175,P013,Product_13,2025-07-26 22:38:37.173841,7
176,P015,Product_15,2025-07-26 02:38:37.173841,10
177,P009,Product_9,2025-07-26 02:38:37.173841,9
178,P005,Product_5,2025-07-21 20:38:37.173841,8
179,P009,Product_9,2025-07-28 04:38:37.173841,2
180,P007,Product_7,2025-07-22 03:38:37.173841,4
181,P015,Product_15,2025-07-24 23:38:37.173841,4
182,P008,Product_8,2025-07-23 18:38:37.173841,7
183,P016,Product_16,2025-07-22 07:38:37.173841,8
184,P020,Product_20,2025-07-26 13:38:37.173841,6
185,P019,Product_19,2025-07-25 00:38:37.173841,1
186,P019,Product_19,2025-07-22 15:38:37.173841,2
187,P016,Product_16,2025-07-26 13:38:37.173841,5
188,P004,Product_4,2025-07-22 03:38:37.173841,9
189,P015,Product_15,2025-07-24 00:38:37.173841,6
190,P017,Product_17,2025-07-28 02:38:37.173841,1
191,P008,Product_8,2025-07-26 06:38:37.173841,5
192,P010,Product_10,2025-07-23 21:38:37.173841,7
193,P020,Product_20,2025-07-27 03:38:37.173841,1
194,P003,Product_3,2025-07-26 15:38:37.173841,1
195,P013,Product_13,2025-07-26 05:38:37.173841,10
196,P010,Product_10,2025-07-28 14:38:37.173841,6
197,P019,Product_19,2025-07-28 18:38:37.173841,5
198,P020,Product_20,2025-07-22 08:38:37.173841,7
199,P005,Product_5,2025-07-22 08:38:37.173841,6
200,P010,Product_10,2025-07-27 23:38:37.173841,5
201,P017,Product_17,2025-07-22 21:38:37.173841,4
202,P013,Product_13,2025-07-23 21:38:37.173841,2
203,P019,Product_19,2025-07-22 20:38:37.173841,8
204,P009,Product_9,2025-07-25 08:38:37.173841,9
205,P018,Product_18,2025-07-25 17:38:37.173841,2
206,P020,Product_20,2025-07-22 05:38:37.173841,8
207,P007,Product_7,2025-07-26 03:38:37.173841,10
208,P018,Product_18,2025-07-28 03:38:37.173841,5
209,P008,Product_8,2025-07-25 20:38:37.173841,1
210,P010,Product_10,2025-07-28 08:38:37.173841,6
211,P004,Product_4,2025-07-21 19:38:37.173841,4
212,P005,Product_5,2025-07-28 14:38:37.173841,5
213,P013,Product_13,2025-07-24 15:38:37.173841,5
214,P003,Product_3,2025-07-25 09:38:37.173841,10
215,P012,Product_12,2025-07-23 04:38:37.173841,10
